,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
158,municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,3074,75,23,52,2270,912,1358,388,114,274,341,122,219,KwaZulu-Natal
159,municipality,LIM352,municipality-LIM352,Aganang,1101,30,8,22,685,314,371,231,67,164,155,50,105,Limpopo
160,municipality,LIM364,municipality-LIM364,Mookgopong,2009,77,27,50,889,345,544,601,196,405,442,124,318,Limpopo
161,municipality,LIM367,municipality-LIM367,Mogalakwena,4946,86,19,67,3473,1435,2038,861,236,625,526,186,340,Limpopo
162,municipality,LIM471,municipality-LIM471,Ephraim Mogale,2879,69,27,42,1922,733,1189,493,146,347,395,124,271,Limpopo
163,municipality,LIM472,municipality-LIM472,Elias Motsoaledi,4235,104,37,67,2768,1138,1630,857,283,574,506,166,340,Limpopo
164,municipality,LIM473,municipality-LIM473,Makhuduthamaga,1984,43,15,28,1362,651,711,425,107,318,154,54,100,Limpopo
165,municipality,LIM474,municipality-LIM474,Fetakgomo,746,8,0,8,524,219,305,156,37,119,58,19,39,Limpopo
166,municipality,LIM475,municipality-LIM475,Greater Tubatse,5414,130,43,87,3772,1388,2384,1032,278,754,480,145,335,Limpopo
167,municipality,MP301,municipality-MP301,Albert Luthuli,4141,145,41,104,2816,1197,1619,879,305,574,301,115,186,Limpopo
168,municipality,MP302,municipality-MP302,Msukaligwa,6126,152,45,107,4258,1666,2592,1173,339,834,543,171,372,Mpumalanga
169,municipality,MP304,municipality-MP304,Pixley Ka Seme,1801,21,9,12,1294,521,773,332,62,270,154,55,99,Mpumalanga
170,municipality,MP305,municipality-MP305,Lekwa,4358,115,36,79,3098,1144,1954,823,160,663,322,120,202,Mpumalanga
171,municipality,MP306,municipality-MP306,Dipaleseng,1365,13,5,8,1071,325,746,157,34,123,124,40,84,Mpumalanga
172,municipality,MP307,municipality-MP307,Govan Mbeki,13214,405,139,266,10367,3676,6691,1265,351,914,1177,380,797,Mpumalanga
173,municipality,MP312,municipality-MP312,Emalahleni,17431,430,122,308,13428,4852,8576,2030,517,1513,1543,468,1075,Mpumalanga
174,municipality,MP313,municipality-MP313,Steve Tshwete,11390,368,113,255,8365,3030,5335,1460,382,1078,1197,416,781,Mpumalanga
175,municipality,MP314,municipality-MP314,Emakhazeni,1831,39,18,21,1096,376,720,423,120,303,273,78,195,Mpumalanga
176,municipality,MP315,municipality-MP315,Thembisile,6235,145,43,102,3642,1602,2040,1594,517,1077,854,322,532,Mpumalanga
177,municipality,MP316,municipality-MP316,Dr JS Moroka,2946,60,13,47,1728,762,966,779,239,540,379,108,271,Mpumalanga
178,municipality,MP321,municipality-MP321,Thaba Chweu,4823,199,66,133,3282,1288,1994,714,190,524,628,181,447,Mpumalanga
179,municipality,MP323,municipality-MP323,Umjindi,2576,60,23,37,1611,689,922,495,158,337,410,119,291,Mpumalanga
180,municipality,MP324,municipality-MP324,Nkomazi,11591,279,66,213,7090,2982,4108,3273,941,2332,949,317,632,Mpumalanga
181,municipality,MP325,municipality-MP325,Bushbuckridge,6156,62,13,49,4089,1902,2187,1230,430,800,775,271,504,Mpumalanga
182,municipality,NW371,municipality-NW371,Moretele,3172,79,17,62,2072,817,1255,607,168,439,414,120,294,Mpumalanga
183,municipality,NW372,municipality-NW372,Madibeng,19738,581,178,403,13287,4356,8931,3221,840,2381,2649,725,1924,North West
184,municipality,NW374,municipality-NW374,Kgetlengrivier,2241,74,18,56,1137,368,769,643,139,504,387,70,317,North West
185,municipality,NW375,municipality-NW375,Moses Kotane,5238,67,16,51,3891,1383,2508,815,270,545,465,119,346,North West
186,municipality,NW381,municipality-NW381,Ratlou,1297,39,10,29,695,262,433,261,74,187,302,61,241,North West
187,municipality,NW382,municipality-NW382,Tswaing,2647,33,8,25,1525,480,1045,654,118,536,435,86,349,North West
188,municipality,NW383,municipality-NW383,Mafikeng,5812,100,26,74,3700,1695,2005,1211,374,837,801,276,525,North West
189,municipality,NW385,municipality-NW385,Ramotshere Moiloa,2616,59,15,44,1702,569,1133,421,88,333,434,116,318,North West
190,municipality,NW392,municipality-NW392,Naledi,2306,74,22,52,1253,494,759,453,138,315,526,115,411,North West
191,municipality,NW393,municipality-NW393,Mamusa,1430,51,14,37,824,317,507,312,50,262,243,67,176,North West
192,municipality,NW394,municipality-NW394,Greater Taung,1790,41,7,34,1183,531,652,357,82,275,209,55,154,North West
193,municipality,NW397,municipality-NW397,Kagisano/Molopo,2132,72,8,64,915,331,584,742,141,601,403,95,308,North West
194,municipality,NW401,municipality-NW401,Ventersdorp,1744,47,11,36,884,273,611,578,121,457,235,58,177,North West
195,municipality,NW402,municipality-NW402,Tlokwe City Council,6618,226,99,127,4296,1931,2365,1240,412,828,856,271,585,North West
196,municipality,NW403,municipality-NW403,City of Matlosana,12123,290,97,193,9072,3613,5459,1516,425,1091,1245,399,846,North West
197,municipality,NW404,municipality-NW404,Maquassi Hills,2098,62,15,47,1214,388,826,547,80,467,275,76,199,North West
198,municipality,NC061,municipality-NC061,Richtersveld,621,17,9,8,524,225,299,72,36,36,8,2,6,North West
199,municipality,NC064,municipality-NC064,Kamiesberg,265,0,0,0,215,84,131,38,12,26,12,4,8,Northern Cape
200,municipality,NC065,municipality-NC065,Hantam,928,25,10,15,587,227,360,190,47,143,126,41,85,Northern Cape
